Market,% Spd,STATUS (CHECK 1),TIME (CHECK 1),DEPTH,STATUS (CHECK 2),TIME (CHECK 2)
AAVE_USDT,0.3%,WARNING,09:55:35,$12.2K / $14.5K,CHECKED,10:07:44
ADA_USDT,0.26%,CHECKED,09:55:35,$70.2K / $94.0K,CHECKED,10:07:44
ALGO_USDT,2.0%,CHECKED,09:55:35,$40.3K / $42.1K,CHECKED,10:07:44
BCH_USDT,0.26%,WARNING,09:55:35,$52.8K / $66.8K,CHECKED,10:07:44
BNB_USDT,0.3%,CHECKED,09:55:35,$63.0K / $63.0K,CHECKED,10:07:44
BONK_USDT,2.0%,CHECKED,09:55:35,$6.5K / $7.1K,CHECKED,10:07:44
BTC_USDT,0.2%,CHECKED,09:55:35,$1.06M / $1.42M,CHECKED,10:07:44
CAKE_USDT,0.3%,CHECKED,09:55:35,$17.3K / $22.8K,CHECKED,10:07:44
CFX_USDT,2.0%,CHECKED,09:55:35,$12.2K / $15.0K,CHECKED,10:07:44
DASH_USDT,2.0%,CHECKED,09:55:35,$18.5K / $21.4K,CHECKED,10:07:44
DOT_USDT,0.26%,CHECKED,09:55:35,$40.0K / $53.1K,CHECKED,10:07:44
DOGE_USDT,0.26%,CHECKED,09:55:35,$442.8K / $446.5K,CHECKED,10:07:44
ETH_USDT,0.25%,CHECKED,09:55:35,$112.1K / $112.1K,CHECKED,10:07:44
FARTCOIN_USDT,2.0%,CHECKED,09:55:35,$17.7K / $19.1K,CHECKED,10:07:44
FLOKI_USDT,0.5%,CHECKED,09:55:35,$24.1K / $31.1K,CHECKED,10:07:44
HYPE_USDT,2.0%,CHECKED,09:55:35,$3.5K / $3.9K,CHECKED,10:07:44
LINK_USDT,0.26%,WARNING,09:55:35,$254.4K / $361.1K,CHECKED,10:07:44
LSK_USDT,1.5%,CHECKED,09:55:35,$18.0K / $20.6K,CHECKED,10:07:44
LTC_USDT,0.3%,CHECKED,09:55:35,$84.6K / $84.6K,CHECKED,10:07:44
NEAR_USDT,2.0%,CHECKED,09:55:35,$8.2K / $8.8K,CHECKED,10:07:44
NOS_USDT,2.0%,CHECKED,09:55:35,$1.0K / $1.2K,CHECKED,10:07:44
PEPE_USDT,0.5%,CHECKED,09:55:35,$22.0K / $28.9K,CHECKED,10:07:44
POL_USDT,0.5%,CHECKED,09:55:35,$45.6K / $54.6K,CHECKED,10:07:44
QDX_USDT,10.0%,WARNING,09:55:35,$167 / $336,WARNING,10:07:44
RENDER_USDT,2.0%,CHECKED,09:55:35,$7.0K / $7.9K,CHECKED,10:07:44
Sonic_USDT,2.0%,CHECKED,09:55:35,$7.0K / $7.8K,CHECKED,10:07:44
SHIB_USDT,0.4%,WARNING,09:55:35,$11.9K / $15.6K,CHECKED,10:07:44
SLP_USDT,2.0%,CHECKED,09:55:35,$8.5K / $10.3K,CHECKED,10:07:44
SOL_USDT,0.25%,CHECKED,09:55:35,$64.4K / $64.4K,WARNING,10:07:44
STRK_USDT,2.0%,CHECKED,09:55:35,$912 / $912,CHECKED,10:07:44
SUI_USDT,2.0%,CHECKED,09:55:35,$7.5K / $8.6K,CHECKED,10:07:44
TON_USDT,0.3%,CHECKED,09:55:35,$33.4K / $49.1K,CHECKED,10:07:44
TRX_USDT,0.3%,CHECKED,09:55:35,$603.3K / $603.3K,CHECKED,10:07:44
USDC_USDT,0.02%,CHECKED,09:55:35,$812.6K / $1.24M,CHECKED,10:07:44
WIF_USDT,2.0%,CHECKED,09:55:35,$3.3K / $4.2K,CHECKED,10:07:44
XLM_USDT,0.3%,CHECKED,09:55:35,$76.9K / $93.6K,CHECKED,10:07:44
XRP_USDT,0.3%,CHECKED,09:55:35,$60.5K / $60.5K,CHECKED,10:07:44
XYO_USDT,1.0%,CHECKED,09:55:35,$771 / $1.5K,CHECKED,10:07:44
ZKSync_USDT,2.0%,CHECKED,09:55:35,$6.6K / $7.3K,CHECKED,10:07:44
BTC_NGN,0.5%,CHECKED,09:55:35,$871.55M / $1842.65M,CHECKED,10:07:44
USDT_NGN,0.52%,CHECKED,09:55:35,$1613.26M / $1627.60M,CHECKED,10:07:44
QDX_NGN,10.0%,WARNING,09:55:35,$400.9K / $404.3K,WARNING,10:07:44
ETH_NGN,0.5%,CHECKED,09:55:35,$1217.41M / $1217.41M,CHECKED,10:07:44
TRX_NGN,0.5%,CHECKED,09:55:35,$740.22M / $740.22M,CHECKED,10:07:44
XRP_NGN,0.5%,CHECKED,09:55:35,$235.35M / $235.35M,CHECKED,10:07:44
DASH_NGN,0.5%,CHECKED,09:55:35,$35.44M / $35.44M,CHECKED,10:07:44
LTC_NGN,0.5%,CHECKED,09:55:35,$282.43M / $282.43M,CHECKED,10:07:44
SOL_NGN,0.5%,CHECKED,09:55:35,$124.14M / $124.14M,CHECKED,10:07:44
USDC_NGN,0.5%,CHECKED,09:55:35,$2521.53M / $2521.53M,CHECKED,10:07:44
