Market,% Spd,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),DEPTH
AAVE_USDT,0.3%,WARNING,00:55:12,WARNING,04:16:21,$4.3K / $5.3K
ADA_USDT,0.26%,CHECKED,00:55:12,CHECKED,04:16:21,$108.9K / $132.9K
ALGO_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$28.1K / $29.9K
BCH_USDT,0.26%,CHECKED,00:55:12,CHECKED,04:16:21,$37.0K / $43.6K
BNB_USDT,0.3%,CHECKED,00:55:12,CHECKED,04:16:21,$50.8K / $50.8K
BONK_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$6.5K / $7.4K
BTC_USDT,0.2%,CHECKED,00:55:12,CHECKED,04:16:21,$1.26M / $1.51M
CAKE_USDT,0.3%,CHECKED,00:55:12,CHECKED,04:16:21,$22.9K / $28.4K
CFX_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$13.7K / $14.8K
DASH_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$20.0K / $20.0K
DOT_USDT,0.26%,CHECKED,00:55:12,CHECKED,04:16:21,$25.0K / $36.5K
DOGE_USDT,0.26%,CHECKED,00:55:12,WARNING,04:16:21,$58.5K / $75.6K
ETH_USDT,0.25%,CHECKED,00:55:12,CHECKED,04:16:21,$242.9K / $287.4K
FARTCOIN_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$29.3K / $31.0K
FLOKI_USDT,0.5%,WARNING,00:55:12,CHECKED,04:16:21,$16.3K / $24.7K
HYPE_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$2.6K / $2.6K
LINK_USDT,0.26%,WARNING,00:55:12,CHECKED,04:16:21,$144.7K / $201.7K
LSK_USDT,1.5%,CHECKED,00:55:12,CHECKED,04:16:21,$22.2K / $24.8K
LTC_USDT,0.3%,CHECKED,00:55:12,CHECKED,04:16:21,$102.8K / $102.8K
NEAR_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$5.4K / $5.4K
NOS_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$531 / $566
PEPE_USDT,0.5%,CHECKED,00:55:12,CHECKED,04:16:21,$32.7K / $40.9K
POL_USDT,0.5%,CHECKED,00:55:12,CHECKED,04:16:21,$57.5K / $57.5K
QDX_USDT,,WARNING,00:55:12,WARNING,04:16:21,$456 / $456
RENDER_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$8.4K / $9.5K
Sonic_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$4.8K / $5.8K
SHIB_USDT,0.4%,CHECKED,00:55:12,CHECKED,04:16:21,$19.0K / $21.1K
SLP_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$6.4K / $6.7K
SOL_USDT,0.25%,CHECKED,00:55:12,CHECKED,04:16:21,$20.0K / $27.7K
STRK_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$816 / $992
SUI_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$3.7K / $4.0K
TON_USDT,0.3%,CHECKED,00:55:12,CHECKED,04:16:21,$35.3K / $53.8K
TRX_USDT,0.3%,CHECKED,00:55:12,CHECKED,04:16:21,$322.1K / $322.1K
USDC_USDT,0.02%,CHECKED,00:55:12,CHECKED,04:16:21,$2.32M / $3.22M
WIF_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$4.8K / $5.1K
XLM_USDT,0.3%,CHECKED,00:55:12,CHECKED,04:16:21,$52.3K / $69.1K
XRP_USDT,0.3%,CHECKED,00:55:12,CHECKED,04:16:21,$82.9K / $82.9K
XYO_USDT,1.0%,CHECKED,00:55:12,CHECKED,04:16:21,$1.7K / $4.6K
ZKSync_USDT,2.0%,CHECKED,00:55:12,CHECKED,04:16:21,$6.8K / $7.4K
USDT_CNGN,,WARNING,00:55:12,WARNING,04:16:21,$0 / $0
BTC_NGN,1.1%,CHECKED,00:55:12,CHECKED,04:16:21,$1691.15M / $1691.15M
USDT_NGN,1.25%,WARNING,00:55:12,WARNING,04:16:21,$1667.64M / $1667.64M
QDX_NGN,,CHECKED,00:55:12,CHECKED,04:16:21,$1.96M / $1.96M
ETH_NGN,1.15%,WARNING,00:55:12,CHECKED,04:16:21,$1095.78M / $1095.78M
TRX_NGN,1.15%,CHECKED,00:55:12,CHECKED,04:16:21,$513.63M / $513.63M
XRP_NGN,0.5%,CHECKED,00:55:12,CHECKED,04:16:21,$121.90M / $121.90M
DASH_NGN,0.5%,CHECKED,00:55:12,CHECKED,04:16:21,$39.36M / $39.36M
LTC_NGN,0.5%,CHECKED,00:55:12,CHECKED,04:16:21,$285.56M / $285.56M
SOL_NGN,1.2%,CHECKED,00:55:12,CHECKED,04:16:21,$100.64M / $100.64M
USDC_NGN,1.2%,CHECKED,00:55:12,WARNING,04:16:21,$1353.44M / $1353.44M
CNGN_NGN,,WARNING,00:55:12,WARNING,04:16:21,$5.24M / $5.24M
USDT_GHS,1.3%,CHECKED,00:55:12,CHECKED,04:16:21,$525.6K / $724.3K
