Market,STATUS (CHECK 1),TIME (CHECK 1),DEPTH
AAVE_USDT,CHECKED,00:00:49,$28.0K / $31.5K
ADA_USDT,CHECKED,00:00:49,$88.9K / $126.3K
ALGO_USDT,CHECKED,00:00:49,$34.3K / $34.3K
BCH_USDT,CHECKED,00:00:49,$39.1K / $46.1K
BNB_USDT,CHECKED,00:00:49,$14.0K / $17.8K
BONK_USDT,CHECKED,00:00:49,$8.6K / $9.3K
BTC_USDT,CHECKED,00:00:49,$909.4K / $1.16M
CAKE_USDT,CHECKED,00:00:49,$23.0K / $27.1K
CFX_USDT,CHECKED,00:00:49,$16.5K / $16.5K
DASH_USDT,CHECKED,00:00:49,$14.8K / $15.9K
DOT_USDT,CHECKED,00:00:49,$22.6K / $27.4K
DOGE_USDT,CHECKED,00:00:49,$219.4K / $219.4K
ETH_USDT,CHECKED,00:00:49,$131.0K / $137.3K
FARTCOIN_USDT,CHECKED,00:00:49,$26.4K / $29.4K
FLOKI_USDT,CHECKED,00:00:49,$16.4K / $22.7K
HYPE_USDT,CHECKED,00:00:49,$3.4K / $3.4K
LINK_USDT,CHECKED,00:00:49,$98.0K / $98.0K
LSK_USDT,CHECKED,00:00:49,$18.2K / $21.7K
LTC_USDT,CHECKED,00:00:49,$79.3K / $79.3K
NEAR_USDT,CHECKED,00:00:49,$6.5K / $6.5K
NOS_USDT,CHECKED,00:00:49,$1.1K / $1.3K
PEPE_USDT,WARNING,00:00:49,$3.5K / $3.5K
POL_USDT,CHECKED,00:00:49,$44.1K / $45.9K
QDX_USDT,CHECKED,00:00:49,$34 / $36
RENDER_USDT,CHECKED,00:00:49,$7.5K / $7.5K
Sonic_USDT,CHECKED,00:00:49,$4.5K / $5.1K
SHIB_USDT,CHECKED,00:00:49,$5.9K / $5.9K
SLP_USDT,CHECKED,00:00:49,$8.9K / $10.1K
SOL_USDT,CHECKED,00:00:49,$37.3K / $47.8K
STRK_USDT,CHECKED,00:00:49,$543 / $601
SUI_USDT,CHECKED,00:00:49,$3.5K / $4.3K
TON_USDT,CHECKED,00:00:49,$52.8K / $69.9K
TRX_USDT,CHECKED,00:00:49,$688.0K / $688.0K
USDC_USDT,CHECKED,00:00:49,$2.64M / $3.43M
WIF_USDT,CHECKED,00:00:49,$7.1K / $7.9K
XLM_USDT,WARNING,00:00:49,$5.3K / $5.3K
XRP_USDT,CHECKED,00:00:49,$139.2K / $139.2K
XYO_USDT,CHECKED,00:00:49,$829 / $1.3K
ZKSync_USDT,CHECKED,00:00:49,$5.1K / $5.5K
USDT_CNGN,CHECKED,00:00:49,$65.83M / $65.83M
BTC_NGN,CHECKED,00:00:49,$2302.60M / $2302.60M
USDT_NGN,WARNING,00:00:49,$78.70M / $218.17M
QDX_NGN,CHECKED,00:00:49,$350.5K / $350.5K
ETH_NGN,CHECKED,00:00:49,$1496.69M / $1496.69M
TRX_NGN,CHECKED,00:00:49,$459.89M / $459.89M
XRP_NGN,CHECKED,00:00:49,$115.04M / $115.04M
DASH_NGN,CHECKED,00:00:49,$34.94M / $34.94M
LTC_NGN,CHECKED,00:00:49,$243.64M / $243.64M
SOL_NGN,CHECKED,00:00:49,$120.02M / $120.02M
USDC_NGN,CHECKED,00:00:49,$5812.19M / $5812.19M
CNGN_NGN,CHECKED,00:00:49,$6.30M / $8.67M
USDT_GHS,CHECKED,00:00:49,$2.26M / $3.13M
