Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),DEPTH
AAVE_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$41.6K / $41.6K
ADA_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$132.8K / $172.4K
ALGO_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$33.2K / $43.1K
BCH_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$44.3K / $56.0K
BNB_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$79.8K / $79.8K
BONK_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$9.7K / $10.6K
BTC_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$1.21M / $1.58M
CAKE_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$20.7K / $24.3K
CFX_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$24.0K / $27.1K
DASH_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$28.5K / $31.3K
DOT_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$47.0K / $56.2K
DOGE_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$250.9K / $250.9K
ETH_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$146.8K / $172.8K
FARTCOIN_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$15.1K / $17.8K
FLOKI_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$18.1K / $23.5K
HYPE_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$3.1K / $3.1K
LINK_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$153.0K / $153.0K
LSK_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$18.3K / $20.7K
LTC_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$113.6K / $113.6K
NEAR_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$4.0K / $4.6K
NOS_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$1.2K / $1.3K
PEPE_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,WARNING,09:02:20,CHECKED,10:48:01,$20.3K / $28.1K
POL_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$40.0K / $46.2K
QDX_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$22 / $22
RENDER_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$11.4K / $12.5K
Sonic_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$8.9K / $9.6K
SHIB_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$17.2K / $19.5K
SLP_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$8.2K / $8.4K
SOL_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$44.2K / $56.2K
STRK_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$952 / $1.1K
SUI_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$5.9K / $6.5K
TON_USDT,WARNING,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$48.0K / $57.9K
TRX_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$328.1K / $328.1K
USDC_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$2.03M / $2.83M
WIF_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$6.9K / $7.6K
XLM_USDT,CHECKED,00:07:48,CHECKED,00:59:32,CHECKED,04:35:41,CHECKED,07:03:41,CHECKED,09:02:20,CHECKED,10:48:01,$73.8K / $83.0K
