Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),DEPTH
AAVE_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$20.8K / $20.8K
ADA_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$47.3K / $72.4K
ALGO_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,WARNING,22:14:31,$45.2K / $45.2K
BCH_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$58.4K / $74.1K
BNB_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$59.3K / $59.3K
BONK_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,WARNING,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$9.4K / $10.5K
BTC_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$962.9K / $1.24M
CAKE_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$21.5K / $25.8K
CFX_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$15.0K / $16.5K
DASH_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$20.7K / $23.1K
DOT_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$11.5K / $19.5K
DOGE_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$252.4K / $256.6K
ETH_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$121.4K / $139.4K
FARTCOIN_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$19.2K / $21.3K
FLOKI_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$19.2K / $25.9K
HYPE_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$2.7K / $2.9K
LINK_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$156.3K / $219.0K
LSK_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$12.2K / $13.3K
LTC_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$101.4K / $101.4K
NEAR_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$4.5K / $5.2K
NOS_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$607 / $694
PEPE_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$24.5K / $29.5K
POL_USDT,WARNING,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$49.1K / $52.3K
QDX_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$6.4K / $6.4K
RENDER_USDT,CHECKED,00:11:26,WARNING,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,CHECKED,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$11.4K / $12.4K
Sonic_USDT,CHECKED,00:11:26,CHECKED,01:07:37,CHECKED,04:48:32,CHECKED,07:19:09,CHECKED,09:10:21,CHECKED,10:57:48,CHECKED,11:59:02,CHECKED,12:35:07,CHECKED,15:12:24,CHECKED,15:27:58,CHECKED,16:47:10,CHECKED,18:26:26,CHECKED,18:40:27,WARNING,20:51:09,CHECKED,21:14:54,CHECKED,22:14:31,$1.2K / $1.9K
