Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),ISSUES (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),ISSUES (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),ISSUES (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),ISSUES (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),ISSUES (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),ISSUES (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),ISSUES (CHECK 19),STATUS (CHECK 20),TIME (CHECK 20),ISSUES (CHECK 20),STATUS (CHECK 21),TIME (CHECK 21),ISSUES (CHECK 21),DEPTH
AAVE_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,A4:MEDIUM,CHECKED,22:04:29,,CHECKED,23:00:12,,$17.3K / $17.3K
ADA_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$86.1K / $111.4K
ALGO_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$36.2K / $38.0K
BCH_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,SKIPPED,,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,WARNING,18:09:03,A2:HIGH|A4:MEDIUM,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$20.4K / $27.4K
BNB_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$44.7K / $44.7K
BONK_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$9.9K / $10.9K
BTC_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$1.30M / $1.75M
CAKE_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$18.9K / $23.1K
CFX_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$30.4K / $32.3K
DASH_USDT,CHECKED,00:06:25,,CHECKED,01:02:40,,CHECKED,04:39:58,,CHECKED,07:05:36,,CHECKED,08:53:35,,CHECKED,10:18:14,,CHECKED,11:14:38,,CHECKED,12:11:59,,CHECKED,12:44:31,,CHECKED,13:01:58,,CHECKED,14:45:28,,CHECKED,15:31:33,,CHECKED,16:08:56,,CHECKED,17:03:45,,CHECKED,18:09:03,,CHECKED,19:03:43,,CHECKED,20:18:30,,CHECKED,21:01:31,,CHECKED,21:08:00,,CHECKED,22:04:29,,CHECKED,23:00:12,,$32.1K / $36.7K
