Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),ISSUES (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),ISSUES (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),ISSUES (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),ISSUES (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),ISSUES (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),ISSUES (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),ISSUES (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),ISSUES (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),ISSUES (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),ISSUES (CHECK 12),DEPTH
AAVE_USDT,CHECKED,10:48:01,A4:MEDIUM,CHECKED,12:15:57,A4:MEDIUM,CHECKED,13:07:28,A4:MEDIUM,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$23.5K / $26.7K
ADA_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$116.9K / $147.5K
ALGO_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$49.3K / $54.7K
BCH_USDT,CHECKED,10:48:01,,WARNING,12:15:57,A2:HIGH|A4:MEDIUM,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$46.3K / $61.1K
BNB_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$45.1K / $45.1K
BONK_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,A4:MEDIUM,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,A4:MEDIUM,CHECKED,18:14:07,,CHECKED,19:10:41,A4:MEDIUM,CHECKED,20:35:04,,CHECKED,22:08:20,A4:MEDIUM,CHECKED,23:07:03,,$7.7K / $8.3K
BTC_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$1.30M / $1.70M
CAKE_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$40.6K / $48.8K
CFX_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$23.4K / $26.9K
DASH_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,A4:MEDIUM,CHECKED,22:08:20,,CHECKED,23:07:03,,$18.1K / $20.0K
DOT_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$36.3K / $49.3K
DOGE_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$138.8K / $138.8K
ETH_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,WARNING,18:14:07,A2:HIGH,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$212.9K / $298.4K
FARTCOIN_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$17.1K / $27.6K
FLOKI_USDT,CHECKED,10:48:01,,CHECKED,12:15:57,,CHECKED,13:07:28,,CHECKED,14:56:28,,CHECKED,16:11:58,,CHECKED,16:53:25,,CHECKED,17:08:34,,CHECKED,18:14:07,,CHECKED,19:10:41,,CHECKED,20:35:04,,CHECKED,22:08:20,,CHECKED,23:07:03,,$31.4K / $37.6K
