Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),ISSUES (CHECK 2),DEPTH
AAVE_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$10.2K / $15.4K
ADA_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$133.4K / $164.9K
ALGO_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$33.7K / $33.7K
BCH_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$72.4K / $92.8K
BNB_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$70.3K / $70.3K
BONK_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$7.4K / $7.4K
BTC_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$1.33M / $1.71M
CAKE_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$21.8K / $27.3K
CFX_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$15.2K / $18.7K
DASH_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$29.7K / $31.6K
DOT_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$36.3K / $47.2K
DOGE_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$177.0K / $177.0K
ETH_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$218.1K / $277.6K
FARTCOIN_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$19.4K / $19.4K
FLOKI_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$19.1K / $26.3K
HYPE_USDT,WARNING,02:24:35,A2:HIGH|A4:MEDIUM,CHECKED,05:57:37,,$6.2K / $6.7K
LINK_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$75.1K / $148.7K
LSK_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$16.3K / $22.3K
LTC_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$122.6K / $122.6K
NEAR_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$9.3K / $10.4K
NOS_USDT,CHECKED,02:24:35,A4:MEDIUM,CHECKED,05:57:37,A4:MEDIUM,$512 / $849
PEPE_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$28.2K / $36.0K
POL_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$25.8K / $31.4K
QDX_USDT,WARNING,02:24:35,A2:HIGH,WARNING,05:57:37,A2:HIGH,$6.6K / $6.6K
RENDER_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$9.0K / $9.9K
Sonic_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$5.0K / $5.7K
SHIB_USDT,CHECKED,02:24:35,A4:MEDIUM,CHECKED,05:57:37,,$24.0K / $26.0K
SLP_USDT,CHECKED,02:24:35,A4:MEDIUM,CHECKED,05:57:37,,$7.4K / $8.1K
SOL_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$41.5K / $56.2K
STRK_USDT,CHECKED,02:24:35,A4:MEDIUM,CHECKED,05:57:37,A4:MEDIUM,$1.3K / $1.4K
SUI_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$6.0K / $6.0K
TON_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$55.4K / $75.1K
TRX_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$739.7K / $739.7K
USDC_USDT,WARNING,02:24:35,A3:CRITICAL|A2:HIGH,CHECKED,05:57:37,,$1.33M / $1.99M
WIF_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$7.4K / $8.1K
XLM_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$103.5K / $112.7K
XRP_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,,$117.8K / $117.8K
XYO_USDT,CHECKED,02:24:35,A4:MEDIUM,CHECKED,05:57:37,A4:MEDIUM,$401 / $667
ZKSync_USDT,CHECKED,02:24:35,,CHECKED,05:57:37,A4:MEDIUM,$4.4K / $5.1K
USDT_CNGN,CHECKED,02:24:35,,WARNING,05:57:37,STALE:HIGH,$37.20M / $37.20M
BTC_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$2668.40M / $2668.40M
USDT_NGN,WARNING,02:24:35,A3:CRITICAL|A2:HIGH|A2:HIGH,CHECKED,05:57:37,A2:HIGH,$1666.56M / $1836.44M
QDX_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$880.6K / $880.6K
ETH_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$1172.07M / $1172.07M
TRX_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$945.62M / $945.62M
XRP_NGN,WARNING,02:24:35,A3:CRITICAL|A2:HIGH,CHECKED,05:57:37,,$94.07M / $94.07M
DASH_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$64.09M / $64.09M
LTC_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$283.31M / $283.31M
SOL_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$125.40M / $137.27M
USDC_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$6030.60M / $6030.60M
CNGN_NGN,CHECKED,02:24:35,,CHECKED,05:57:37,,$7.47M / $9.28M
USDT_GHS,CHECKED,02:24:35,,CHECKED,05:57:37,,$2.72M / $3.53M
