Market,STATUS (CHECK 1),TIME (CHECK 1),ISSUES (CHECK 1),DEPTH
AAVE_USDT,CHECKED,06:08:39,,$5.9K / $8.9K
ADA_USDT,WARNING,06:08:39,A3:CRITICAL|A2:HIGH,$0 / $0
ALGO_USDT,CHECKED,06:08:39,,$36.5K / $36.5K
BCH_USDT,CHECKED,06:08:39,,$33.8K / $46.3K
BNB_USDT,CHECKED,06:08:39,,$77.3K / $77.3K
BONK_USDT,CHECKED,06:08:39,,$8.6K / $9.7K
BTC_USDT,CHECKED,06:08:39,,$1.02M / $1.34M
CAKE_USDT,SKIPPED,,,
CFX_USDT,CHECKED,06:08:39,,$15.0K / $18.2K
DASH_USDT,CHECKED,06:08:39,,$32.0K / $34.4K
DOT_USDT,CHECKED,06:08:39,,$22.0K / $30.4K
DOGE_USDT,CHECKED,06:08:39,,$233.2K / $233.2K
ETH_USDT,CHECKED,06:08:39,,$157.3K / $157.3K
FARTCOIN_USDT,CHECKED,06:08:39,,$14.7K / $14.7K
FLOKI_USDT,CHECKED,06:08:39,,$13.9K / $20.9K
HYPE_USDT,CHECKED,06:08:39,,$5.9K / $5.9K
LINK_USDT,CHECKED,06:08:39,,$50.3K / $50.3K
LSK_USDT,CHECKED,06:08:39,,$17.4K / $19.8K
LTC_USDT,CHECKED,06:08:39,,$111.3K / $111.3K
NEAR_USDT,CHECKED,06:08:39,,$13.7K / $13.7K
NOS_USDT,CHECKED,06:08:39,A4:MEDIUM,$1.4K / $1.6K
PEPE_USDT,CHECKED,06:08:39,,$17.9K / $23.4K
POL_USDT,CHECKED,06:08:39,,$14.2K / $14.2K
QDX_USDT,SKIPPED,,,
RENDER_USDT,CHECKED,06:08:39,,$14.2K / $15.8K
Sonic_USDT,CHECKED,06:08:39,A4:MEDIUM,$4.8K / $6.0K
SHIB_USDT,CHECKED,06:08:39,A4:MEDIUM,$4.1K / $4.9K
SLP_USDT,CHECKED,06:08:39,,$8.9K / $10.4K
SOL_USDT,CHECKED,06:08:39,,$20.3K / $25.4K
STRK_USDT,CHECKED,06:08:39,A4:MEDIUM,$1.2K / $1.3K
SUI_USDT,CHECKED,06:08:39,,$7.5K / $8.1K
TON_USDT,CHECKED,06:08:39,,$35.8K / $48.7K
TRX_USDT,CHECKED,06:08:39,,$405.1K / $405.1K
USDC_USDT,CHECKED,06:08:39,,$1.78M / $1.78M
WIF_USDT,CHECKED,06:08:39,,$8.3K / $9.0K
XLM_USDT,WARNING,06:08:39,A3:CRITICAL|A2:HIGH,$0 / $0
XRP_USDT,CHECKED,06:08:39,,$114.6K / $114.6K
XYO_USDT,CHECKED,06:08:39,A4:MEDIUM,$440 / $575
ZKSync_USDT,CHECKED,06:08:39,A4:MEDIUM,$4.5K / $4.9K
USDT_CNGN,WARNING,06:08:39,A2:HIGH|STALE:HIGH,$26.05M / $26.05M
BTC_NGN,WARNING,06:08:39,A3:CRITICAL|A2:HIGH,$0 / $0
USDT_NGN,CHECKED,06:08:39,A2:HIGH,$1218.62M / $3440.81M
QDX_NGN,CHECKED,06:08:39,,$2.04M / $2.05M
ETH_NGN,CHECKED,06:08:39,,$2273.89M / $2273.89M
TRX_NGN,CHECKED,06:08:39,,$1046.08M / $1046.08M
XRP_NGN,CHECKED,06:08:39,,$110.18M / $110.18M
DASH_NGN,CHECKED,06:08:39,,$55.64M / $55.64M
LTC_NGN,CHECKED,06:08:39,,$231.90M / $231.90M
SOL_NGN,CHECKED,06:08:39,,$112.80M / $112.80M
USDC_NGN,CHECKED,06:08:39,,$5508.20M / $5697.16M
CNGN_NGN,WARNING,06:08:39,A3:CRITICAL|A2:HIGH,$0 / $0
USDT_GHS,CHECKED,06:08:39,,$4.29M / $5.06M
