timestamp,symbol,monitor_only,status,issues,strikes,current_spread,target_spread,percent_diff,ask_layers,bid_layers,dws,depth_1.25x,depth_1.5x,imbalance_ratio,heavier_side,stale_ob_count
2026-04-28 01:11:34,AAVE_USDT,False,Checked,,0,0.311,0.3,3.67,22,22,0.2195,$23.1K,$25.7K,1.88,asks,0
2026-04-28 01:11:35,ADA_USDT,False,Checked,,0,0.169,0.26,-35.0,22,22,0.2834,$41.7K,$49.5K,5.22,bids,0
2026-04-28 01:11:34,ALGO_USDT,False,Checked,,0,2.0186,2.0,0.93,22,22,1.4534,$40.6K,$45.1K,1.93,asks,0
2026-04-28 01:11:34,BCH_USDT,False,Checked,,0,0.283,0.26,8.85,22,22,0.2545,$40.8K,$50.3K,1.81,asks,0
2026-04-28 01:11:35,BNB_USDT,False,Checked,,0,0.301,0.3,0.33,22,22,0.1716,$81.2K,$81.2K,1.06,bids,0
2026-04-28 01:11:52,BONK_USDT,False,Checked,,0,2.0316,2.0,1.58,22,22,1.4044,$10.0K,$11.0K,1.69,asks,0
2026-04-28 01:11:52,BTC_USDT,False,Checked,,0,0.2,0.2,0.0,22,22,0.1735,$1.49M,$1.96M,1.37,bids,0
2026-04-28 01:11:52,CAKE_USDT,False,Checked,A4:MEDIUM,0,0.0862,0.3,-71.27,22,22,0.3662,$2.6K,$4.3K,8.26,asks,0
2026-04-28 01:11:52,CFX_USDT,False,Checked,,0,2.0144,2.0,0.72,22,22,1.4105,$15.1K,$17.2K,1.94,asks,0
2026-04-28 01:11:52,DASH_USDT,False,Checked,,0,2.0117,2.0,0.58,22,22,1.5459,$16.3K,$18.4K,1.06,bids,0
2026-04-28 01:12:10,DOT_USDT,False,Checked,,0,0.356,0.26,36.92,22,22,0.454,$48.5K,$60.1K,2.06,asks,0
2026-04-28 01:12:10,DOGE_USDT,False,Checked,,0,0.141,0.26,-45.77,22,22,0.175,$79.6K,$105.4K,9.25,bids,0
2026-04-28 01:12:11,ETH_USDT,False,Checked,,0,0.242,0.25,-3.2,22,22,0.1499,$170.8K,$170.8K,1.02,bids,0
2026-04-28 01:12:11,FARTCOIN_USDT,False,Checked,,0,2.016,2.0,0.8,22,22,1.501,$27.5K,$33.5K,1.24,asks,0
2026-04-28 01:12:11,FLOKI_USDT,False,Checked,,0,0.588,0.5,17.6,22,22,0.4163,$22.2K,$28.3K,2.29,bids,0
2026-04-28 01:12:27,HYPE_USDT,False,Checked,A4:MEDIUM,0,1.968,2.0,-1.6,22,22,1.1947,$2.7K,$2.7K,1.18,asks,0
2026-04-28 01:12:28,LINK_USDT,False,Checked,,0,0.15,0.26,-42.31,22,22,0.2326,$81.7K,$87.8K,1.49,bids,0
2026-04-28 01:12:28,LSK_USDT,False,Checked,,0,1.574,1.5,4.93,17,22,1.3213,$21.9K,$25.9K,3.57,asks,0
2026-04-28 01:12:29,LTC_USDT,False,Checked,,0,0.301,0.3,0.33,22,22,0.1708,$102.4K,$102.4K,1.01,bids,0
2026-04-28 01:12:29,NEAR_USDT,False,Checked,,0,2.0172,2.0,0.86,22,22,1.1987,$7.3K,$7.3K,1.3,asks,0
2026-04-28 01:12:44,NOS_USDT,False,Checked,A4:MEDIUM,0,2.0126,2.0,0.63,22,22,1.375,$576,$644,2.07,asks,0
2026-04-28 01:12:46,PEPE_USDT,False,Checked,,0,0.436,0.5,-12.8,21,22,0.364,$24.5K,$33.6K,1.91,bids,0
2026-04-28 01:12:46,POL_USDT,False,Checked,,0,0.52,0.5,4.0,22,22,0.4082,$32.1K,$32.1K,2.87,bids,0
2026-04-28 01:12:48,QDX_USDT,True,Checked,A4:MEDIUM,0,3.905,N/A,N/A,19,22,10.9385,$12,$34,4.63,bids,0
2026-04-28 01:12:47,RENDER_USDT,False,Checked,,0,2.691,2.0,34.55,14,22,1.7133,$9.5K,$12.2K,1.46,asks,0
2026-04-28 01:13:02,Sonic_USDT,False,Checked,,0,2.0277,2.0,1.38,22,22,1.4146,$7.3K,$8.3K,1.86,asks,0
2026-04-28 01:13:04,SHIB_USDT,False,Checked,,0,0.403,0.4,0.75,21,19,0.2415,$16.7K,$18.5K,2.64,asks,0
2026-04-28 01:13:03,SLP_USDT,False,Checked,A4:MEDIUM,0,2.455,2.0,22.75,14,11,1.9953,$4.0K,$4.5K,4.99,asks,0
2026-04-28 01:13:05,SOL_USDT,False,Checked,,0,0.251,0.25,0.4,22,22,0.3663,$22.2K,$35.1K,1.33,asks,0
2026-04-28 01:13:04,STRK_USDT,False,Checked,A4:MEDIUM,0,2.037,2.0,1.85,22,22,1.3569,$911,$1.0K,2.0,asks,0
2026-04-28 01:13:20,SUI_USDT,False,Checked,,0,2.0197,2.0,0.98,22,22,1.3574,$5.2K,$5.5K,1.99,asks,0
2026-04-28 01:13:20,TON_USDT,False,Checked,,0,0.382,0.3,27.33,22,22,0.4525,$65.8K,$74.6K,1.23,bids,0
2026-04-28 01:13:22,TRX_USDT,False,Checked,,0,0.301,0.3,0.33,22,22,0.1746,$397.1K,$397.1K,1.28,bids,0
2026-04-28 01:13:22,USDC_USDT,False,Checked,,0,0.0399,0.02,99.5,21,21,0.0677,$1.55M,$2.27M,2.56,bids,0
2026-04-28 01:13:23,WIF_USDT,False,Checked,,0,2.0361,2.0,1.8,22,22,1.4415,$7.2K,$8.0K,1.96,asks,0
2026-04-28 01:13:38,XLM_USDT,False,Checked,,0,0.361,0.3,20.33,22,22,0.3655,$59.3K,$70.2K,1.54,asks,0
2026-04-28 01:13:38,XRP_USDT,False,Checked,,0,0.307,0.3,2.33,22,22,0.1906,$99.3K,$99.3K,1.2,bids,0
2026-04-28 01:13:40,XYO_USDT,False,Checked,A4:MEDIUM,0,1.287,1.0,28.7,22,22,1.8095,$702,$1.0K,3.31,asks,0
2026-04-28 01:13:40,ZKSync_USDT,False,Checked,A4:MEDIUM,0,2.0166,2.0,0.83,22,22,1.3994,$4.8K,$5.5K,2.11,asks,0
2026-04-28 01:13:40,USDT_CNGN,True,Warning,STALE:HIGH,0,0.939,N/A,N/A,21,19,0.5361,$27.79M,$27.79M,1.63,asks,0
2026-04-28 01:13:56,BTC_NGN,False,Checked,,0,0.586,0.7,-16.29,22,22,0.3104,$2435.80M,$2435.80M,1.06,asks,0
2026-04-28 01:13:56,USDT_NGN,False,Checked,,0,0.247,0.95,-74.0,22,22,0.1846,$1631.30M,$1900.38M,2.21,asks,0
2026-04-28 01:13:57,QDX_NGN,True,Checked,,0,7.608,N/A,N/A,12,21,6.3062,$1.83M,$1.88M,3.82,bids,1
2026-04-28 01:13:57,ETH_NGN,False,Checked,,0,0.549,0.75,-26.8,22,22,0.4026,$1527.57M,$1527.57M,1.66,asks,0
2026-04-28 01:13:58,TRX_NGN,False,Checked,,0,0.5,0.75,-33.33,22,22,0.2902,$735.35M,$735.35M,1.15,bids,0
2026-04-28 01:14:14,XRP_NGN,False,Checked,,0,0.491,0.5,-1.8,22,22,0.2641,$127.87M,$127.87M,1.18,asks,0
2026-04-28 01:14:14,DASH_NGN,False,Checked,,0,0.502,0.5,0.4,22,22,0.2796,$53.57M,$53.57M,1.01,asks,0
2026-04-28 01:14:14,LTC_NGN,False,Checked,,0,0.501,0.5,0.2,22,22,0.2821,$313.54M,$313.54M,1.05,bids,0
2026-04-28 01:14:15,SOL_NGN,False,Checked,,0,0.751,0.8,-6.13,22,22,0.4183,$124.54M,$124.54M,1.59,asks,0
2026-04-28 01:14:15,USDC_NGN,False,Checked,,0,0.452,1.2,-62.33,22,22,0.3513,$3635.05M,$3635.05M,1.43,bids,0
2026-04-28 01:14:23,CNGN_NGN,True,Checked,,0,0.0799,N/A,N/A,11,10,0.0929,$5.19M,$6.92M,1.3,bids,1
2026-04-28 01:14:23,USDT_GHS,False,Checked,,0,1.705,1.3,31.15,22,22,1.2576,$2.05M,$2.65M,1.39,asks,0
